"","casv_code","Arctic","N_Temperate","S_Temperate","Antarctic","Tropical","n","Arctic_pct","N_Temperate_pct","Tropical_pct","S_Temperate_pct","Antarctic_pct","Temperate_pct","Polar_pct","biogeo"
"181","034691016f",0,6,22,0,26,54,0,0.111111111111111,0.481481481481481,0.407407407407407,0,0.518518518518518,0,"Temperate-Tropical"
"182","034d769ff3",0,0,27,28,0,55,0,0,0,0.490909090909091,0.509090909090909,0.490909090909091,0.509090909090909,"Polar-Temperate"
"183","0377a19bcb",0,0,0,0,6,6,0,0,1,0,0,0,0,"Tropical"
"184","037c9ee32f",0,7,0,0,0,7,0,1,0,0,0,1,0,"Temperate"
"185","037e71f3e4",0,0,0,8,0,8,0,0,0,0,1,0,1,"Polar"
"186","037f5ab7ea",0,0,30,43,0,73,0,0,0,0.410958904109589,0.589041095890411,0.410958904109589,0.589041095890411,"Polar-Temperate"
"187","037f661724",0,0,0,0,8,8,0,0,1,0,0,0,0,"Tropical"
"188","037fcd94b2",0,0,0,0,6,6,0,0,1,0,0,0,0,"Tropical"
"189","0384266028",5,109,190,0,109,413,0.0121065375302663,0.263922518159806,0.263922518159806,0.460048426150121,0,0.723970944309927,0.0121065375302663,"Temperate-Tropical"
"190","038673c0f7",39,21,19,0,31,110,0.354545454545455,0.190909090909091,0.281818181818182,0.172727272727273,0,0.363636363636364,0.354545454545455,"Cosmopolitan"
"191","038868a693",0,0,23,23,0,46,0,0,0,0.5,0.5,0.5,0.5,"Polar-Temperate"
"192","03957c7159",28,17,39,0,15,99,0.282828282828283,0.171717171717172,0.151515151515152,0.393939393939394,0,0.565656565656566,0.282828282828283,"Cosmopolitan"
"193","039afeb7d2",11,0,0,0,0,11,1,0,0,0,0,0,1,"Polar"
"194","03a8a480c9",6,0,0,0,0,6,1,0,0,0,0,0,1,"Polar"
"195","03acad0717",0,7,0,0,21,28,0,0.25,0.75,0,0,0.25,0,"Temperate-Tropical"
"196","03af6c5c2a",0,8,9,0,0,17,0,0.470588235294118,0,0.529411764705882,0,1,0,"Temperate"
"197","03af92444b",0,6,21,0,9,36,0,0.166666666666667,0.25,0.583333333333333,0,0.75,0,"Temperate-Tropical"
"198","03b2d11f41",0,0,8,14,0,22,0,0,0,0.363636363636364,0.636363636363636,0.363636363636364,0.636363636363636,"Polar-Temperate"
"199","03bc27868d",0,9,9,0,0,18,0,0.5,0,0.5,0,1,0,"Temperate"
"200","03d7c5ea5f",0,0,0,0,8,8,0,0,1,0,0,0,0,"Tropical"
"201","03d7fb1660",0,0,55,57,0,112,0,0,0,0.491071428571429,0.508928571428571,0.491071428571429,0.508928571428571,"Polar-Temperate"
"202","03d973fd94",0,0,5,0,0,5,0,0,0,1,0,1,0,"Temperate"
"203","03ddf6b0ee",0,0,0,0,23,23,0,0,1,0,0,0,0,"Tropical"
"204","03e029dcc7",0,0,16,24,0,40,0,0,0,0.4,0.6,0.4,0.6,"Polar-Temperate"
"205","03e10e8596",7,0,0,0,0,7,1,0,0,0,0,0,1,"Polar"
"206","03eeccbc4f",11,5,8,0,0,24,0.458333333333333,0.208333333333333,0,0.333333333333333,0,0.541666666666667,0.458333333333333,"Polar-Temperate"
"207","03eee1ef06",0,23,53,0,0,76,0,0.302631578947368,0,0.697368421052632,0,1,0,"Temperate"
"208","03f7008782",0,0,0,0,17,17,0,0,1,0,0,0,0,"Tropical"
"209","03f93f2718",0,0,0,0,34,34,0,0,1,0,0,0,0,"Tropical"
"210","03ff42f2c6",0,0,56,45,0,101,0,0,0,0.554455445544555,0.445544554455446,0.554455445544555,0.445544554455446,"Polar-Temperate"
"211","0400e7bcd3",0,11,0,0,0,11,0,1,0,0,0,1,0,"Temperate"
"212","0402ca9211",0,10,0,0,0,10,0,1,0,0,0,1,0,"Temperate"
"213","0403fc239c",0,0,0,0,6,6,0,0,1,0,0,0,0,"Tropical"
"214","040411a511",0,0,19,24,0,43,0,0,0,0.441860465116279,0.558139534883721,0.441860465116279,0.558139534883721,"Polar-Temperate"
"215","040c88f49a",0,8,0,0,9,17,0,0.470588235294118,0.529411764705882,0,0,0.470588235294118,0,"Temperate-Tropical"
"216","040cfa6b8c",0,0,18,29,0,47,0,0,0,0.382978723404255,0.617021276595745,0.382978723404255,0.617021276595745,"Polar-Temperate"
"217","040e7c50c6",0,0,0,0,9,9,0,0,1,0,0,0,0,"Tropical"
"218","041c170863",0,0,6,0,17,23,0,0,0.739130434782609,0.260869565217391,0,0.260869565217391,0,"Temperate-Tropical"
"219","041ebb97bc",0,0,17,0,19,36,0,0,0.527777777777778,0.472222222222222,0,0.472222222222222,0,"Temperate-Tropical"
"220","041ffb8603",0,0,0,8,0,8,0,0,0,0,1,0,1,"Polar"
"221","04278bd205",12,0,0,0,0,12,1,0,0,0,0,0,1,"Polar"
"222","0427b874f8",0,0,6,0,13,19,0,0,0.684210526315789,0.315789473684211,0,0.315789473684211,0,"Temperate-Tropical"
"223","042d05d21c",0,0,9,8,0,17,0,0,0,0.529411764705882,0.470588235294118,0.529411764705882,0.470588235294118,"Polar-Temperate"
"224","042e1f08c1",5,0,0,0,0,5,1,0,0,0,0,0,1,"Polar"
